2023/04/10 21:06:58 94.102.61.25:33178 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/10 21:07:21 94.102.61.25:33750 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/10 23:43:43 80.82.77.139:43622 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/10 23:43:51 80.82.77.139:55736 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([http/0.9 http/1.0 spdy/1 spdy/2 spdy/3 h2c hq])
2023/04/10 23:43:51 80.82.77.139:55756 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([hq h2c spdy/3 spdy/2 spdy/1 http/1.0 http/0.9])
2023/04/10 23:43:51 80.82.77.139:56222 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/10 23:43:51 80.82.77.139:56388 rejected  proxy/vmess/encoding: failed to read request header > tls: client offered only unsupported versions: []
2023/04/10 23:43:51 80.82.77.139:57164 rejected  proxy/vmess/encoding: failed to read request header > unexpected EOF
2023/04/10 23:43:51 80.82.77.139:57256 rejected  proxy/vmess/encoding: failed to read request header > unexpected EOF
2023/04/10 23:43:52 80.82.77.139:57624 rejected  proxy/vmess/encoding: failed to read request header > local error: tls: unexpected message
2023/04/10 23:43:52 80.82.77.139:57946 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/10 23:43:56 80.82.77.139:34544 rejected  proxy/vmess/encoding: failed to read request header > tls: no cipher suite supported by both client and server
2023/04/10 23:43:56 80.82.77.139:34602 rejected  proxy/vmess/encoding: failed to read request header > tls: no cipher suite supported by both client and server
2023/04/10 23:43:57 80.82.77.139:43074 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/11 09:01:58 192.241.194.51:41176 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/11 15:31:10 167.94.146.60:38180 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.146.60:38180: read: connection reset by peer
2023/04/11 15:31:14 167.94.146.60:41296 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/11 15:31:15 167.94.146.60:56602 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/11 15:31:15 167.94.146.60:60096 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.94.146.60:60096: read: connection reset by peer
2023/04/11 19:15:28 107.170.246.12:47246 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/12 03:25:39 35.233.62.116:60274 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/12 06:48:11 205.210.31.53:62296 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/12 07:02:50 104.152.52.149:54085 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->104.152.52.149:54085: i/o timeout
2023/04/12 08:49:18 185.165.190.34:44494 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/12 08:49:26 185.165.190.34:43428 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([http/0.9 http/1.0 spdy/1 spdy/2 spdy/3 h2c hq])
2023/04/12 08:49:26 185.165.190.34:43726 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([hq h2c spdy/3 spdy/2 spdy/1 http/1.0 http/0.9])
2023/04/12 08:49:28 185.165.190.34:45348 rejected  proxy/vmess/encoding: failed to read request header > tls: unsupported SSLv2 handshake received
2023/04/12 08:49:28 185.165.190.34:45560 rejected  proxy/vmess/encoding: failed to read request header > tls: client offered only unsupported versions: []
2023/04/12 08:49:30 185.165.190.34:47108 rejected  proxy/vmess/encoding: failed to read request header > unexpected EOF
2023/04/12 08:49:30 185.165.190.34:47422 rejected  proxy/vmess/encoding: failed to read request header > unexpected EOF
2023/04/12 08:49:31 185.165.190.34:47614 rejected  proxy/vmess/encoding: failed to read request header > local error: tls: unexpected message
2023/04/12 08:49:34 185.165.190.34:52844 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/12 08:49:35 185.165.190.34:50078 rejected  proxy/vmess/encoding: failed to read request header > tls: no cipher suite supported by both client and server
2023/04/12 08:49:35 185.165.190.34:50154 rejected  proxy/vmess/encoding: failed to read request header > tls: no cipher suite supported by both client and server
2023/04/12 08:49:42 185.165.190.34:33260 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
2023/04/12 19:02:45 62.233.50.133:24574 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 00:17:02 176.100.42.20:10012 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 00:17:02 176.100.42.20:10396 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 00:17:02 176.100.42.20:10732 rejected  proxy/vmess/encoding: failed to read request header > tls: first record does not look like a TLS handshake
2023/04/13 00:46:14 167.248.133.125:52066 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([http/0.9 http/1.0 spdy/1 spdy/2 spdy/3 h2c hq])
2023/04/13 00:46:14 167.248.133.125:59538 rejected  proxy/vmess/encoding: failed to read request header > tls: client requested unsupported application protocols ([hq h2c spdy/3 spdy/2 spdy/1 http/1.0 http/0.9])
2023/04/13 04:02:30 167.248.133.37:58536 rejected  proxy/vmess/encoding: failed to read request header > read tcp 172.26.0.2:10000->167.248.133.37:58536: read: connection reset by peer
2023/04/13 04:02:34 167.248.133.37:53680 rejected  common/drain: common/drain: unable to drain connection > EOF > proxy/vmess/encoding: invalid user > proxy/vmess: Not Found
